epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0751,0.97935,1.07331,1.1006,0.75487,0.51562,0.61656,0.37042,1.37916,1.49963,1.23819,0.09208,8e-05,8e-05
2,52.4809,0.95113,0.9524,1.05918,0.6097,0.58586,0.61281,0.37069,1.38358,1.51184,1.23908,0.0831683,0.000168317,0.000168317
3,78.8758,0.99355,1.02697,1.11666,0.6064,0.57812,0.61206,0.37048,1.37265,1.514,1.23232,0.0742549,0.000254852,0.000254852
4,102.837,0.94124,0.98185,1.07925,0.79171,0.47522,0.61158,0.36846,1.4028,1.50605,1.2591,0.0653396,0.000339605,0.000339605
5,127.429,1.02792,1.01554,1.08639,0.79204,0.47619,0.61323,0.37344,1.39115,1.49781,1.24607,0.0564226,0.000422576,0.000422576
6,153.244,0.97596,0.98113,1.06067,0.79357,0.48059,0.61181,0.36441,1.38421,1.49973,1.24667,0.0475038,0.000503765,0.000503765
7,178.079,0.95632,0.91191,1.06586,0.77649,0.48438,0.60549,0.36067,1.37671,1.51963,1.23937,0.0385832,0.000583172,0.000583172
8,204.572,0.95067,0.90163,1.0652,0.78163,0.48438,0.61451,0.37605,1.34125,1.50171,1.21722,0.0296608,0.000660797,0.000660797
9,231.103,0.90867,0.86543,1.04448,0.79055,0.48438,0.60056,0.37761,1.34393,1.51005,1.22701,0.0207366,0.00073664,0.00073664
10,256.65,0.95413,0.91927,1.06553,0.73986,0.48438,0.60669,0.37968,1.34569,1.49814,1.2305,0.0118107,0.000810701,0.000810701
11,281.698,0.9805,0.93228,1.06364,0.76848,0.45312,0.60877,0.3785,1.37137,1.51771,1.24786,0.00288298,0.00088298,0.00088298
12,306.124,0.93483,0.9102,1.04698,0.76806,0.45312,0.61267,0.37402,1.37835,1.48453,1.25907,0.0008911,0.0008911,0.0008911
13,329.499,0.92779,0.92614,1.06619,0.77995,0.49847,0.61307,0.37358,1.35982,1.47713,1.23501,0.0008812,0.0008812,0.0008812
14,353.338,0.89371,0.84255,1.01964,0.74887,0.51562,0.62195,0.37433,1.37469,1.47301,1.24169,0.0008713,0.0008713,0.0008713
15,377.416,0.98863,0.90483,1.06087,0.75333,0.48438,0.62099,0.37091,1.37883,1.46081,1.24807,0.0008614,0.0008614,0.0008614
16,402.4,1.03228,1.21922,1.17768,0.77603,0.48731,0.6167,0.37881,1.36887,1.45221,1.24255,0.0008515,0.0008515,0.0008515
17,428.048,0.88461,0.90232,1.0632,0.81075,0.5,0.61338,0.3737,1.39339,1.43325,1.26501,0.0008416,0.0008416,0.0008416
18,453.602,0.91467,0.92382,1.05273,0.79578,0.48715,0.61582,0.36915,1.42552,1.42301,1.28942,0.0008317,0.0008317,0.0008317
19,479.523,0.96675,0.91277,1.04911,0.78326,0.48438,0.61509,0.36593,1.38798,1.45011,1.25,0.0008218,0.0008218,0.0008218
20,505.94,0.96066,0.9733,1.08906,0.79698,0.4908,0.61042,0.3757,1.35118,1.45938,1.2305,0.0008119,0.0008119,0.0008119
21,531.751,0.95338,0.89288,1.05855,0.79883,0.5,0.61223,0.37484,1.34362,1.46786,1.22292,0.000802,0.000802,0.000802
22,559.026,0.93678,0.88845,1.05445,0.86645,0.48438,0.62642,0.38391,1.32974,1.46681,1.21114,0.0007921,0.0007921,0.0007921
23,585.535,0.88202,0.89794,1.0326,0.89962,0.46875,0.63798,0.38822,1.33919,1.46016,1.20945,0.0007822,0.0007822,0.0007822
24,612.483,0.92925,0.91535,1.02754,0.91882,0.46875,0.63794,0.38916,1.3489,1.45197,1.21532,0.0007723,0.0007723,0.0007723
25,638.026,0.93349,0.90933,1.05176,0.9229,0.46875,0.6338,0.38588,1.34513,1.4402,1.21313,0.0007624,0.0007624,0.0007624
26,664.577,0.96333,0.959,1.07215,0.9071,0.46875,0.63465,0.38797,1.33045,1.44006,1.20831,0.0007525,0.0007525,0.0007525
27,694.444,0.98875,1.0534,1.08861,0.92033,0.46875,0.63977,0.38601,1.36386,1.42498,1.22509,0.0007426,0.0007426,0.0007426
