epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4794,1.95139,3.11987,1.73386,0.01333,0.625,0.05237,0.02546,1.67617,3.29837,1.38233,0.00016,0.00016,0.00016
2,48.8411,1.92058,2.79776,1.69542,0.01733,0.8125,0.06251,0.02203,1.69058,3.18833,1.3802,0.000335793,0.000335793,0.000335793
3,73.4774,1.83819,2.33194,1.59094,0.01767,0.82812,0.04333,0.01657,1.67087,3.01342,1.38721,0.00050713,0.00050713,0.00050713
4,98.5831,1.7825,2.17186,1.5951,0.02496,0.78125,0.06476,0.02797,1.63606,2.81929,1.39939,0.000674013,0.000674013,0.000674013
5,122.57,1.53408,1.9759,1.45935,0.26516,0.125,0.12983,0.05033,1.69535,2.679,1.37019,0.00083644,0.00083644,0.00083644
6,146.78,1.63945,1.974,1.49408,0.28934,0.20312,0.14815,0.0602,1.74506,2.72504,1.44618,0.000994413,0.000994413,0.000994413
7,170.963,1.77339,2.05947,1.5701,0.284,0.27276,0.22467,0.10825,1.76595,2.533,1.44113,0.00114793,0.00114793,0.00114793
8,194.992,1.63305,1.95958,1.48913,0.15657,0.39062,0.12195,0.04466,2.02312,2.72091,1.66376,0.00129699,0.00129699,0.00129699
9,218.987,1.68349,2.01399,1.50543,0.25986,0.20312,0.12904,0.0389,2.12407,2.81129,1.76405,0.0014416,0.0014416,0.0014416
10,243.502,1.72193,2.03798,1.60079,0.17126,0.28125,0.12892,0.0458,2.13835,2.68791,1.84009,0.00158175,0.00158175,0.00158175
11,268.2,1.7075,1.96791,1.57575,0.25092,0.1875,0.11764,0.0471,2.05187,2.90083,1.83862,0.00171745,0.00171745,0.00171745
12,293.152,1.65304,1.98008,1.52291,0.25857,0.3125,0.16374,0.06346,2.0726,2.77881,1.78547,0.00172775,0.00172775,0.00172775
13,318.046,1.69025,1.89227,1.52213,0.30997,0.26562,0.18942,0.07264,2.05098,2.92445,1.78556,0.001703,0.001703,0.001703
14,344.373,1.64702,1.89216,1.49811,0.19706,0.34375,0.10869,0.04474,1.90622,3.41245,1.67502,0.00167825,0.00167825,0.00167825
15,370.021,1.51979,1.77644,1.43696,0.09908,0.28125,0.0681,0.03184,1.8321,4.10544,1.63866,0.0016535,0.0016535,0.0016535
16,395.036,1.61981,1.83615,1.47905,0.11078,0.28125,0.08281,0.04073,1.85705,3.67289,1.70621,0.00162875,0.00162875,0.00162875
17,421.235,1.60267,2.04756,1.45701,0.18966,0.28125,0.12155,0.04772,1.92263,2.87778,1.70177,0.001604,0.001604,0.001604
